sessionID,time,speaker,q_id,emotion,text
EDD289C0BB1324A14375264A681C6B25,Thu Oct 13 11:26:24 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
EDD289C0BB1324A14375264A681C6B25,Thu Oct 13 11:31:51 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
EDD289C0BB1324A14375264A681C6B25,Thu Oct 13 11:31:59 CDT 2016,U,RP1A,I,Hey I am good
EDD289C0BB1324A14375264A681C6B25,Thu Oct 13 11:31:59 CDT 2016,HG,RP1A,I,Controlling your weight is beneficial to your health. What do you do to stay healthy?
EDD289C0BB1324A14375264A681C6B25,Thu Oct 13 11:34:05 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:35:35 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:35:49 CDT 2016,U,RP1A,I,hello!  i���m good
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:35:49 CDT 2016,HG,RP1A,I,Controlling your weight is beneficial to your health. What do you do to stay healthy?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:36:03 CDT 2016,U,EP1B,I,i ride my bike to school
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:36:03 CDT 2016,HG,EP1B,I,"Practicing tai chi promotes weight loss, keeping you in good shape. Do you want to hear more about how tai chi helps with weight loss?"
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:36:20 CDT 2016,U,RP2A,I,sure why not
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:36:20 CDT 2016,HG,RP2A,I,"When you consider muscular strength, do you think of yourself as strong?"
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:36:27 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:36:44 CDT 2016,U,RP1A,I,fine. you?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:36:44 CDT 2016,HG,RP1A,I,Controlling your weight is beneficial to your health. What do you do to stay healthy?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:36:44 CDT 2016,U,RP2B,I,a little sure
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:36:44 CDT 2016,HG,RP2B,I,Many tai chi exercises help build muscle mass. You can do it from the comfort of your own home at a time that���s convenient for you. Would you like me to tell you more about it?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:37:01 CDT 2016,U,EP1B,I,I bike
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:37:01 CDT 2016,HG,EP1B,I,"Practicing tai chi promotes weight loss, keeping you in good shape. Do you want to hear more about how tai chi helps with weight loss?"
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:37:01 CDT 2016,U,RP2C,I,yes please
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:37:01 CDT 2016,HG,RP2C,I,Did you know that each position in tai chi exercises your upper and lower body strength with gentle movements and positions that target muscle groups?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:37:22 CDT 2016,U,RP2A,I,sure...
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:37:22 CDT 2016,HG,RP2A,I,"When you consider muscular strength, do you think of yourself as strong?"
